episode,outcome,reward,loss,epsilon,buffer,moves
1,W,4.49,0.117,0.995,312,78
2,L,2.34,0.078,0.99,608,74
3,W,2.77,0.07,0.985,840,58
4,W,4.59,0.046,0.98,1088,62
5,W,3.32,0.064,0.975,1312,55
6,W,3.0,0.042,0.97,1504,48
7,W,1.78,0.042,0.966,1664,40
8,L,-1.78,0.033,0.961,1784,31
9,L,-1.95,0.032,0.956,1928,37
10,L,-1.63,0.025,0.951,2056,33
11,W,2.7,0.033,0.946,2288,58
12,W,2.03,0.041,0.942,2488,50
13,W,3.22,0.048,0.937,2664,43
14,L,0.97,0.033,0.932,2928,66
15,W,2.43,0.044,0.928,3136,51
16,W,2.99,0.028,0.923,3384,61
17,L,2.54,0.044,0.918,3672,72
18,W,2.08,0.032,0.914,3872,49
19,W,1.29,0.052,0.909,4040,42
20,L,-0.89,0.04,0.905,4264,56
21,W,1.12,0.038,0.9,4432,42
22,L,1.93,0.047,0.896,4688,64
23,W,3.54,0.033,0.891,4944,64
24,W,5.19,0.064,0.887,5160,53
25,L,-1.62,0.022,0.882,5352,48
26,W,2.16,0.035,0.878,5576,56
27,L,1.01,0.051,0.873,5808,59
28,L,-1.21,0.052,0.869,6000,49
29,L,0.44,0.042,0.865,6216,55
30,L,-1.49,0.04,0.86,6384,43
31,L,0.13,0.025,0.856,6640,64
32,W,2.29,0.049,0.852,6824,45
33,W,2.3,0.037,0.848,7072,61
34,L,2.01,0.044,0.843,7368,74
35,W,1.37,0.031,0.839,7472,25
36,L,0.04,0.067,0.835,7632,41
37,W,2.74,0.04,0.831,7816,45
38,L,0.04,0.063,0.827,8064,62
39,L,-0.44,0.039,0.822,8240,45
40,L,-1.11,0.045,0.818,8472,58
41,L,0.07,0.048,0.814,8712,60
42,L,0.67,0.047,0.81,8920,53
43,L,-0.65,0.049,0.806,9072,39
44,L,3.45,0.038,0.802,9344,69
45,L,0.61,0.055,0.798,9568,56
46,L,-1.55,0.042,0.794,9712,37
47,L,0.62,0.044,0.79,9968,64
48,L,-0.55,0.053,0.786,10152,46
49,W,3.78,0.056,0.782,10344,47
50,W,7.04,0.029,0.778,10640,73
51,L,-0.31,0.053,0.774,10832,48
52,W,1.95,0.052,0.771,11048,53
53,W,3.01,0.054,0.767,11240,47
54,L,0.69,0.052,0.763,11440,51
55,L,-1.03,0.056,0.759,11600,41
56,W,5.71,0.04,0.755,11928,81
57,L,1.12,0.046,0.751,12152,57
58,L,-1.75,0.039,0.748,12288,35
59,W,4.14,0.06,0.744,12576,72
60,L,0.37,0.061,0.74,12776,51
61,L,0.54,0.073,0.737,13008,58
62,W,2.51,0.048,0.733,13240,58
63,W,3.04,0.051,0.729,13488,61
64,W,1.47,0.06,0.726,13616,31
65,L,0.29,0.063,0.722,13840,57
66,W,3.99,0.039,0.718,14128,72
67,L,-1.78,0.046,0.715,14264,34
68,L,-1.36,0.059,0.711,14440,45
69,W,6.8,0.053,0.708,14664,56
70,L,-0.72,0.038,0.704,14872,53
71,W,3.84,0.039,0.701,15112,60
72,L,0.81,0.072,0.697,15352,61
73,W,2.73,0.039,0.694,15568,53
74,W,1.44,0.033,0.69,15752,45
75,L,2.35,0.046,0.687,16016,66
76,W,2.93,0.048,0.683,16224,51
77,W,4.97,0.039,0.68,16528,75
78,W,2.32,0.066,0.676,16712,45
79,L,0.28,0.046,0.673,17008,74
80,L,1.11,0.05,0.67,17248,60
81,W,2.82,0.059,0.666,17480,57
82,W,4.88,0.047,0.663,17704,56
83,W,3.0,0.054,0.66,17952,61
84,L,-0.68,0.061,0.656,18184,58
85,W,4.29,0.052,0.653,18480,73
86,W,2.36,0.069,0.65,18680,50
87,L,0.4,0.037,0.647,18848,42
88,L,0.82,0.041,0.643,19112,66
89,W,4.51,0.051,0.64,19384,67
90,L,-0.34,0.068,0.637,19560,44
91,L,0.95,0.031,0.634,19824,66
92,L,-0.05,0.054,0.631,20072,63
93,W,4.16,0.069,0.627,20328,64
94,W,4.24,0.065,0.624,20568,59
95,L,-1.97,0.036,0.621,20664,24
96,W,1.99,0.044,0.618,20832,42
97,W,2.48,0.036,0.615,21048,54
98,W,3.97,0.053,0.612,21248,49
99,W,1.76,0.067,0.609,21440,48
100,L,-0.61,0.022,0.606,21640,51
101,W,3.99,0.06,0.603,21912,67
102,W,2.65,0.057,0.6,22112,50
103,W,2.02,0.028,0.597,22312,49
104,W,3.36,0.048,0.594,22496,45
105,W,1.54,0.05,0.591,22640,36
106,L,-1.75,0.037,0.588,22872,58
107,W,5.37,0.045,0.585,23096,55
108,L,-0.01,0.045,0.582,23312,55
109,W,2.65,0.045,0.579,23568,64
110,W,3.94,0.054,0.576,23792,55
111,W,3.61,0.036,0.573,23984,48
112,W,1.49,0.046,0.57,24168,45
113,L,-1.12,0.032,0.568,24336,42
114,W,2.63,0.027,0.565,24552,54
115,W,3.62,0.048,0.562,24760,51
116,W,3.2,0.061,0.559,24992,58
117,L,-0.73,0.058,0.556,25176,46
118,L,-0.33,0.039,0.554,25376,51
119,L,0.45,0.048,0.551,25608,59
120,W,2.46,0.051,0.548,25840,58
