episode,outcome,reward,loss,epsilon,buffer,moves
1,W,14.18,0.298,0.995,312,78
2,L,2.84,0.184,0.99,608,74
3,W,12.09,0.17,0.985,840,58
4,W,14.33,0.19,0.98,1088,62
5,W,12.48,0.237,0.975,1312,55
6,W,12.9,0.219,0.97,1504,48
7,W,10.93,0.415,0.966,1664,40
8,L,-1.78,0.308,0.961,1784,31
9,L,-1.95,0.142,0.956,1928,37
10,L,-1.73,0.196,0.951,2056,33
11,W,12.41,0.246,0.946,2288,58
12,W,10.35,0.298,0.942,2432,36
13,L,1.81,0.183,0.937,2696,67
14,W,14.72,0.127,0.932,2952,64
15,L,-1.45,0.253,0.928,3120,43
16,W,12.26,0.253,0.923,3360,60
17,W,11.17,0.179,0.918,3552,47
18,W,11.55,0.246,0.914,3704,37
19,W,11.97,0.285,0.909,3832,31
20,W,17.69,0.346,0.905,4136,75
21,W,12.45,0.2,0.9,4328,47
22,W,14.65,0.216,0.896,4600,67
23,L,-1.98,0.309,0.891,4712,29
24,W,10.72,0.296,0.887,4872,39
25,W,11.92,0.254,0.882,5088,53
26,L,0.09,0.265,0.878,5304,55
27,L,-0.38,0.174,0.873,5536,58
28,W,10.85,0.289,0.869,5696,39
29,L,0.3,0.4,0.865,5912,55
30,W,10.87,0.36,0.86,6088,44
31,L,-0.02,0.288,0.856,6320,59
32,L,-0.36,0.332,0.852,6536,54
33,L,-0.63,0.212,0.848,6712,44
34,L,-0.4,0.122,0.843,6936,57
35,L,-1.35,0.227,0.839,7096,40
36,W,13.69,0.243,0.835,7312,53
37,L,0.38,0.167,0.831,7576,67
38,L,0.62,0.218,0.827,7824,63
39,W,12.36,0.335,0.822,8056,57
40,L,-1.34,0.207,0.818,8216,40
41,W,11.45,0.212,0.814,8360,36
42,L,0.91,0.183,0.81,8568,53
43,W,10.05,0.268,0.806,8664,24
44,W,10.99,0.206,0.802,8840,43
45,W,11.41,0.16,0.798,9088,62
46,L,1.35,0.188,0.794,9312,56
47,W,14.41,0.2,0.79,9608,74
48,L,3.03,0.186,0.786,9856,62
49,L,-1.78,0.235,0.782,10016,41
50,L,2.32,0.332,0.778,10288,69
51,W,10.73,0.293,0.774,10416,32
52,L,2.13,0.327,0.771,10728,78
53,L,0.45,0.265,0.767,10968,60
54,W,14.62,0.421,0.763,11216,61
55,L,0.08,0.295,0.759,11424,52
56,L,0.32,0.202,0.755,11664,60
57,W,10.45,0.293,0.751,11800,34
58,W,12.81,0.457,0.748,12000,49
59,W,11.25,0.297,0.744,12216,54
60,L,0.21,0.315,0.74,12488,69
61,L,-1.15,0.152,0.737,12640,38
62,L,-1.23,0.106,0.733,12808,42
63,L,-0.58,0.233,0.729,12976,43
64,W,11.6,0.212,0.726,13184,52
65,W,13.1,0.132,0.722,13384,49
66,W,11.53,0.152,0.718,13592,51
67,L,-1.08,0.221,0.715,13720,33
68,W,10.86,0.207,0.711,13912,47
69,W,12.34,0.168,0.708,14056,36
70,L,-0.58,0.286,0.704,14280,56
71,W,15.96,0.234,0.701,14544,66
72,L,1.86,0.283,0.697,14808,67
73,W,10.25,0.271,0.694,14976,42
74,W,15.14,0.269,0.69,15224,62
75,W,14.94,0.2,0.687,15504,69
76,L,1.59,0.245,0.683,15744,61
77,W,11.11,0.292,0.68,15952,51
78,L,0.13,0.231,0.676,16192,61
79,W,12.88,0.227,0.673,16416,56
80,L,0.53,0.267,0.67,16648,59
81,W,11.38,0.253,0.666,16808,40
82,W,13.78,0.158,0.663,16992,46
83,L,-1.35,0.178,0.66,17160,43
84,L,-0.77,0.367,0.656,17384,57
85,W,12.02,0.251,0.653,17616,58
86,W,13.69,0.354,0.65,17848,58
87,L,-1.01,0.26,0.647,18040,48
88,L,-0.91,0.23,0.643,18232,49
89,W,13.1,0.067,0.64,18456,56
90,W,16.11,0.184,0.637,18768,77
91,W,11.88,0.095,0.634,19008,60
92,W,13.29,0.234,0.631,19224,54
93,W,15.33,0.257,0.627,19488,65
94,L,1.32,0.149,0.624,19768,71
95,W,10.67,0.255,0.621,19912,35
96,W,14.54,0.136,0.618,20176,66
97,W,13.69,0.236,0.615,20464,72
98,L,-0.45,0.139,0.612,20608,36
99,W,12.4,0.107,0.609,20832,55
100,L,0.37,0.161,0.606,21040,53
101,L,2.11,0.21,0.603,21288,62
102,L,0.4,0.182,0.6,21520,58
103,W,12.08,0.277,0.597,21736,53
104,L,7.02,0.189,0.594,22024,72
105,L,-1.33,0.36,0.591,22200,45
106,W,12.59,0.408,0.588,22392,47
107,W,12.21,0.128,0.585,22640,62
108,W,12.3,0.239,0.582,22896,63
109,W,12.96,0.113,0.579,23104,52
110,L,1.62,0.274,0.576,23376,68
111,L,-0.01,0.215,0.573,23592,55
112,L,-0.01,0.28,0.57,23824,59
113,W,15.38,0.453,0.568,24096,67
114,W,13.01,0.336,0.565,24328,58
115,W,11.51,0.358,0.562,24552,55
116,L,1.81,0.304,0.559,24832,70
117,W,11.44,0.233,0.556,25032,50
118,L,2.88,0.251,0.554,25272,61
119,W,15.22,0.113,0.551,25520,62
120,L,0.27,0.344,0.548,25720,51
121,L,-0.85,0.241,0.545,25920,50
122,W,17.55,0.295,0.543,26224,76
123,L,-0.27,0.129,0.54,26448,56
124,W,14.97,0.261,0.537,26656,52
125,L,-0.72,0.375,0.534,26824,42
126,L,-0.62,0.277,0.532,27032,53
127,W,13.56,0.262,0.529,27344,78
128,W,10.93,0.188,0.526,27472,32
129,L,-0.84,0.228,0.524,27616,37
130,W,10.97,0.382,0.521,27784,41
131,L,0.39,0.196,0.519,27984,51
132,W,14.52,0.181,0.516,28240,64
133,L,0.66,0.153,0.513,28432,48
134,L,-0.25,0.174,0.511,28608,44
135,W,14.28,0.228,0.508,28856,62
136,W,12.22,0.315,0.506,29088,58
137,L,-0.19,0.198,0.503,29280,49
138,W,11.92,0.198,0.501,29464,45
139,L,-0.88,0.386,0.498,29632,43
140,W,12.44,0.114,0.496,29880,61
141,W,10.98,0.222,0.493,30056,43
142,W,11.18,0.214,0.491,30208,37
143,W,14.01,0.214,0.488,30440,57
144,W,11.88,0.308,0.486,30656,54
145,W,10.56,0.251,0.483,30816,40
146,W,11.58,0.323,0.481,30984,41
147,L,-1.95,0.268,0.479,31104,31
148,W,11.68,0.186,0.476,31264,39
149,W,12.89,0.267,0.474,31480,54
150,W,10.99,0.173,0.471,31688,52
151,L,1.17,0.107,0.469,31928,60
152,W,11.86,0.265,0.467,32128,49
153,W,14.59,0.227,0.464,32400,67
